row_key,block_raw,block_matched,block_id,block_score,row_number,side,row_length_m,row_width_m,structure,flags
Bravo 13|13|,Bravo 13,NO MATCH,NO MATCH,0.0,13,,151.0,4,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 13|14|,Bravo 13,NO MATCH,NO MATCH,0.0,14,,154.0,4,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 13|15|,Bravo 13,NO MATCH,NO MATCH,0.0,15,,154.0,4,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 13|16|,Bravo 13,NO MATCH,NO MATCH,0.0,16,,168.0,4,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 13|17|,Bravo 13,NO MATCH,NO MATCH,0.0,17,,178.0,4,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 13|18|,Bravo 13,NO MATCH,NO MATCH,0.0,18,,180.0,4,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 13|19|,Bravo 13,NO MATCH,NO MATCH,0.0,19,,77.0,4,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|1|,Bravo 14,NO MATCH,NO MATCH,0.0,1,,19.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|2|,Bravo 14,NO MATCH,NO MATCH,0.0,2,,32.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|3|,Bravo 14,NO MATCH,NO MATCH,0.0,3,,48.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|4|,Bravo 14,NO MATCH,NO MATCH,0.0,4,,67.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|5|,Bravo 14,NO MATCH,NO MATCH,0.0,5,,81.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|6|,Bravo 14,NO MATCH,NO MATCH,0.0,6,,73.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|7|,Bravo 14,NO MATCH,NO MATCH,0.0,7,,88.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|8|,Bravo 14,NO MATCH,NO MATCH,0.0,8,,103.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|9|,Bravo 14,NO MATCH,NO MATCH,0.0,9,,108.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|10|,Bravo 14,NO MATCH,NO MATCH,0.0,10,,150.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|11|,Bravo 14,NO MATCH,NO MATCH,0.0,11,,155.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|12|,Bravo 14,NO MATCH,NO MATCH,0.0,12,,163.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|20|,Bravo 14,NO MATCH,NO MATCH,0.0,20,,184.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|21|,Bravo 14,NO MATCH,NO MATCH,0.0,21,,182.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|22|,Bravo 14,NO MATCH,NO MATCH,0.0,22,,183.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|23|,Bravo 14,NO MATCH,NO MATCH,0.0,23,,188.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|24|,Bravo 14,NO MATCH,NO MATCH,0.0,24,,193.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|25|,Bravo 14,NO MATCH,NO MATCH,0.0,25,,192.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|26|,Bravo 14,NO MATCH,NO MATCH,0.0,26,,192.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
Bravo 14|27|,Bravo 14,NO MATCH,NO MATCH,0.0,27,,115.0,3.5,PORTION,LOW_BLOCK_MATCH(0.0)
